"success","category","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","ttype","responses","repeat_instructions","key_press","index","keypress_S2","block","trial_num","phase","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","keypress_isi","total_bonus_tally"
"","","","html-keyboard-response","276","83098","0.0-1.0-363.0","0","0","71923","","41","ISI","","","75","40","","","","","","","","","","","","","","k",""
"","","","html-keyboard-response","277","83351","0.0-1.0-364.0","0","0","71923","","171","S2","","","75","40","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","278","83519","0.0-1.0-365.0","0","0","71923","","166","response","","","75","40","","5","40","test","non_adjacent","7","3","L.jpg","P.jpg","1","0","0","","",""
"","","","html-keyboard-response","279","83622","0.0-1.0-366.0-0.0","0","0","71923","","null","feedback","","","null","40","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","280","83728","0.0-1.0-368.0-0.0","0","0","71923","","null","time_out","","","null","40","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","281","84229","0.0-1.0-369.0","0","0","71923","","214","ITI","","","75","40","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","282","84485","0.0-1.0-371.0","0","0","71923","","null","S1","","","null","41","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","283","84588","0.0-1.0-372.0","0","0","71923","","null","ISI","","","null","41","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","284","84843","0.0-1.0-373.0","0","0","71923","","97","S2","","","75","41","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","285","84900","0.0-1.0-374.0","0","0","71923","","55","response","","","75","41","","5","41","test","adjacent","4","5","Q.jpg","O.jpg","1","1","1","","",""
"","","","html-keyboard-response","286","85001","0.0-1.0-375.0-0.0","0","0","71923","","null","feedback","","","null","41","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","287","85505","0.0-1.0-378.0","0","0","71923","","132","ITI","","","75","41","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","288","85758","0.0-1.0-380.0","0","0","71923","","null","S1","","","null","42","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","289","85864","0.0-1.0-381.0","0","0","71923","","64","ISI","","","75","42","","","","","","","","","","","","","","k",""
"","","","html-keyboard-response","290","86121","0.0-1.0-382.0","0","0","71923","","197","S2","","","75","42","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","291","86511","0.0-1.0-383.0","0","0","71923","","388","response","","","75","42","","5","42","test","non_adjacent","3","5","P.jpg","O.jpg","1","1","1","","",""
"","","","html-keyboard-response","292","86616","0.0-1.0-384.0-0.0","0","0","71923","","null","feedback","","","null","42","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","293","87122","0.0-1.0-387.0","0","0","71923","","117","ITI","","","75","42","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","294","87378","0.0-1.0-389.0","0","0","71923","","null","S1","","","null","43","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","295","87484","0.0-1.0-390.0","0","0","71923","","null","ISI","","","null","43","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","296","87738","0.0-1.0-391.0","0","0","71923","","null","S2","","","null","43","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","297","87782","0.0-1.0-392.0","0","0","71923","","43","response","","","75","43","","5","43","test","adjacent","4","3","Q.jpg","P.jpg","1","0","0","","",""
